zone,lat,lng,final_risk_score,road_risk_score,confidence_score,uncertainty_level,risk_band
SOUTHEAST / IT CORRIDOR,12.920426,77.61535,67.46,0.5253,0.5296,0.6151,High
SOUTH BANGALORE,12.949741,77.6027,67.46,0.6272,0.5516,0.5843,High
WEST BANGALORE,13.00561,77.57624,67.44,0.589,0.5297,0.6151,High
SOUTH BANGALORE,12.921557,77.60125,67.44,0.6178,0.508,0.6486,High
NORTH BANGALORE,13.004879,77.57681,67.42,0.5495,0.5319,0.6151,High
SOUTH BANGALORE,12.923505,77.60879,67.41,0.593,0.5071,0.6486,High
LOGISTICS / HIGH TRAFFIC ZONES,12.920026,77.617905,67.4,0.5585,0.5309,0.6151,High
LOGISTICS / HIGH TRAFFIC ZONES,12.966041,77.584015,67.39,0.613,0.592,0.5286,High
WEST BANGALORE,12.9716,77.5946,67.38,0.6075,0.5278,0.6151,High
SOUTH BANGALORE,12.907637,77.58218,67.35,0.51,0.5355,0.6151,High
SOUTHEAST / IT CORRIDOR,12.914999,77.63813,67.34,0.4969,0.6571,0.4334,High
WEST BANGALORE,13.000453,77.54758,67.34,0.5548,0.5339,0.6151,High
NORTH BANGALORE,12.94438,77.590324,67.34,0.6186,0.5505,0.5843,High
LOGISTICS / HIGH TRAFFIC ZONES,12.970498,77.582306,67.33,0.6036,0.55,0.5843,High
SOUTHEAST / IT CORRIDOR,12.908259,77.634605,67.33,0.5744,0.5034,0.6486,High
LOGISTICS / HIGH TRAFFIC ZONES,12.916733,77.62558,67.33,0.5799,0.5529,0.5843,High
NORTH BANGALORE,12.943837,77.59403,67.29,0.6094,0.5024,0.6486,High
WEST BANGALORE,13.002841,77.56387,67.28,0.5863,0.6568,0.4334,High
EAST BANGALORE,12.936844,77.70117,67.26,0.6871,0.619,0.4788,High
EAST BANGALORE,12.962482,77.701324,67.26,0.5218,0.6109,0.5031,High
CENTRAL BANGALORE,12.992332,77.59107,67.26,0.5894,0.5311,0.6151,High
SOUTH BANGALORE,12.944121,77.59455,67.24,0.5429,0.557,0.5843,High
WEST BANGALORE,13.005933,77.54867,67.23,0.5722,0.5531,0.5843,High
EAST BANGALORE,12.936996,77.70266,67.23,0.5197,0.6307,0.4788,High
NORTH BANGALORE,13.004115,77.57653,67.23,0.5376,0.5752,0.5556,High
SOUTHEAST / IT CORRIDOR,12.923278,77.6202,67.19,0.4512,0.6438,0.4557,High
LOGISTICS / HIGH TRAFFIC ZONES,13.007478,77.56574,67.18,0.558,0.5582,0.5843,High
SOUTH BANGALORE,12.925416,77.60631,67.18,0.5977,0.6141,0.5031,High
SOUTH BANGALORE,12.94088,77.60205,67.18,0.5579,0.61,0.5031,High
SOUTH BANGALORE,12.925458,77.602844,67.17,0.6524,0.5043,0.6486,High
SOUTH BANGALORE,12.935312,77.57063,67.15,0.6397,0.6254,0.4788,High
SOUTH BANGALORE,12.901543,77.58171,67.14,0.516,0.5374,0.6151,High
SOUTH BANGALORE,12.93856,77.579735,67.12,0.5429,0.7159,0.3333,High
WEST BANGALORE,12.988228,77.54635,67.12,0.545,0.6149,0.5031,High
SOUTH BANGALORE,12.926613,77.63832,67.09,0.6588,0.5485,0.5843,High
WEST BANGALORE,12.986139,77.54621,67.08,0.5349,0.671,0.4121,High
NORTH BANGALORE,13.048076,77.6318,67.06,0.5652,0.526,0.6151,High
CENTRAL BANGALORE,13.001399,77.58072,67.06,0.5817,0.5309,0.6151,High
EAST BANGALORE,12.941663,77.701904,67.06,0.5608,0.5916,0.5286,High
CENTRAL BANGALORE,12.985572,77.59795,67.02,0.6379,0.5546,0.5843,High
SOUTHEAST / IT CORRIDOR,12.915171,77.64561,67.01,0.5207,0.6289,0.4788,High
SOUTHEAST / IT CORRIDOR,12.922471,77.61692,66.97,0.5205,0.6425,0.4557,High
NORTH BANGALORE,12.956972,77.5865,66.96,0.6422,0.5296,0.6151,High
SOUTHEAST / IT CORRIDOR,12.910923,77.6306,66.95,0.5764,0.5036,0.6486,High
NORTH BANGALORE,13.049411,77.60294,66.93,0.5508,0.5519,0.5843,High
NORTH BANGALORE,13.040709,77.62588,66.92,0.4975,0.5756,0.5556,High
SOUTH BANGALORE,12.93959,77.60828,66.92,0.5988,0.6413,0.4557,High
SOUTH BANGALORE,12.858365,77.60914,66.88,0.6407,0.5005,0.6486,High
SOUTHEAST / IT CORRIDOR,12.967083,77.63972,66.86,0.5634,0.5924,0.5286,High
NORTH BANGALORE,13.044706,77.60089,66.81,0.5683,0.6136,0.5031,High
WEST BANGALORE,13.003692,77.57336,66.81,0.5565,0.6112,0.5031,High
SOUTH BANGALORE,12.934068,77.58739,66.79,0.6238,0.5934,0.5286,High
LOGISTICS / HIGH TRAFFIC ZONES,13.008287,77.563286,66.76,0.6051,0.5953,0.5286,High
EAST BANGALORE,12.93932,77.69976,66.75,0.6503,0.5926,0.5286,High
WEST BANGALORE,12.997701,77.55467,66.75,0.577,0.5744,0.5556,High
WEST BANGALORE,13.027221,77.536674,66.74,0.6554,0.5523,0.5843,High
WEST BANGALORE,13.004889,77.5755,66.73,0.5958,0.5715,0.5556,High
CENTRAL BANGALORE,12.993699,77.57445,66.73,0.5145,0.5815,0.5556,High
SOUTHEAST / IT CORRIDOR,12.968363,77.638306,66.72,0.5306,0.6714,0.4121,High
EAST BANGALORE,12.936247,77.70575,66.68,0.6449,0.6237,0.4788,High
SOUTHEAST / IT CORRIDOR,12.911419,77.628716,66.67,0.5827,0.5544,0.5843,High
EAST BANGALORE,12.968807,77.71921,66.66,0.5958,0.5294,0.6151,High
SOUTHEAST / IT CORRIDOR,12.923929,77.614525,66.66,0.5545,0.6538,0.4334,High
SOUTHEAST / IT CORRIDOR,12.910371,77.6286,66.66,0.6226,0.5516,0.5843,High
SOUTHEAST / IT CORRIDOR,12.906724,77.63524,66.63,0.5929,0.503,0.6486,High
SOUTH BANGALORE,12.924768,77.61506,66.6,0.5141,0.6138,0.5031,High
LOGISTICS / HIGH TRAFFIC ZONES,12.922824,77.62024,66.59,0.5056,0.6417,0.4557,High
LOGISTICS / HIGH TRAFFIC ZONES,13.007393,77.567444,66.58,0.5537,0.5954,0.5286,High
SOUTH BANGALORE,12.926511,77.61578,66.58,0.5431,0.7298,0.3151,High
WEST BANGALORE,12.999987,77.55754,66.57,0.5608,0.6262,0.4788,High
SOUTH BANGALORE,12.918506,77.615746,66.55,0.52,0.575,0.5556,High
SOUTH BANGALORE,12.918241,77.60888,66.54,0.5539,0.593,0.5286,High
WEST BANGALORE,13.02846,77.536835,66.52,0.592,0.5544,0.5843,High
SOUTHEAST / IT CORRIDOR,12.965601,77.638794,66.51,0.5442,0.5925,0.5286,High
NORTH BANGALORE,12.946914,77.59198,66.48,0.6199,0.5905,0.5286,High
SOUTH BANGALORE,12.861795,77.61209,66.46,0.6575,0.5,0.6486,High
NORTH BANGALORE,13.03801,77.59319,66.44,0.5219,0.6743,0.4121,High
LOGISTICS / HIGH TRAFFIC ZONES,12.965995,77.57447,66.43,0.4978,0.6029,0.5286,High
NORTH BANGALORE,13.072847,77.586044,66.42,0.5646,0.5325,0.6151,High
EAST BANGALORE,12.93626,77.7068,66.41,0.584,0.5544,0.5843,High
SOUTH BANGALORE,12.864523,77.58884,66.4,0.6689,0.5248,0.6151,High
NORTH BANGALORE,13.049901,77.63096,66.39,0.5776,0.5323,0.6151,High
LOGISTICS / HIGH TRAFFIC ZONES,12.958126,77.571976,66.38,0.5816,0.5974,0.5286,High
SOUTH BANGALORE,12.923877,77.61103,66.38,0.5475,0.555,0.5843,High
EAST BANGALORE,12.968946,77.718796,66.35,0.5766,0.5264,0.6151,High
NORTH BANGALORE,13.048841,77.62757,66.35,0.5222,0.5736,0.5556,High
LOGISTICS / HIGH TRAFFIC ZONES,12.911661,77.628685,66.34,0.617,0.5507,0.5843,High
SOUTH BANGALORE,12.943223,77.608894,66.32,0.5922,0.6402,0.4557,High
SOUTH BANGALORE,12.926697,77.6079,66.31,0.5772,0.6112,0.5031,High
EAST BANGALORE,12.972147,77.71138,66.28,0.6295,0.5243,0.6151,High
WEST BANGALORE,13.026707,77.53728,66.28,0.614,0.5547,0.5843,High
SOUTH BANGALORE,12.91456,77.641594,66.27,0.4775,0.656,0.4334,High
SOUTH BANGALORE,12.946317,77.59209,66.26,0.5995,0.5914,0.5286,High
LOGISTICS / HIGH TRAFFIC ZONES,12.962177,77.581055,66.24,0.5684,0.6295,0.4788,High
SOUTH BANGALORE,12.941065,77.6027,66.21,0.538,0.6149,0.5031,High
SOUTH BANGALORE,12.914775,77.6339,66.17,0.5435,0.5933,0.5286,High
SOUTHEAST / IT CORRIDOR,12.846263,77.65033,66.17,0.5952,0.5078,0.6486,High
SOUTH BANGALORE,12.926003,77.61013,66.16,0.596,0.6402,0.4557,High
WEST BANGALORE,12.997158,77.542885,66.14,0.5877,0.6124,0.5031,High
EAST BANGALORE,12.935786,77.70658,66.14,0.6205,0.5531,0.5843,High
SOUTH BANGALORE,12.949471,77.60027,66.13,0.5908,0.5539,0.5843,High
CENTRAL BANGALORE,12.986808,77.59887,66.13,0.5354,0.5575,0.5843,High
EAST BANGALORE,12.937488,77.70136,66.07,0.5336,0.631,0.4788,High
SOUTH BANGALORE,12.93744,77.608696,66.07,0.5842,0.7327,0.3151,High
SOUTH BANGALORE,12.931737,77.607834,66.06,0.6236,0.5913,0.5286,High
NORTH BANGALORE,13.072106,77.585976,66.05,0.563,0.5323,0.6151,High
SOUTH BANGALORE,12.920679,77.60555,66.05,0.569,0.5064,0.6486,High
WEST BANGALORE,13.003268,77.573685,66.02,0.559,0.6127,0.5031,High
SOUTH BANGALORE,12.945671,77.60077,66.01,0.6226,0.5574,0.5843,High
CENTRAL BANGALORE,12.986366,77.597725,66.01,0.6446,0.551,0.5843,High
WEST BANGALORE,12.998912,77.55203,66.0,0.5797,0.5719,0.5556,High
SOUTH BANGALORE,12.943005,77.602425,65.99,0.6568,0.6098,0.5031,High
NORTH BANGALORE,13.043474,77.624794,65.96,0.5508,0.5749,0.5556,High
SOUTH BANGALORE,12.930515,77.60863,65.96,0.5775,0.6736,0.4121,High
CENTRAL BANGALORE,12.992648,77.59108,65.96,0.5886,0.5255,0.6151,High
WEST BANGALORE,13.00148,77.555145,65.93,0.6111,0.626,0.4788,High
WEST BANGALORE,13.000726,77.56427,65.91,0.5356,0.6872,0.3914,High
NORTH BANGALORE,13.027705,77.59895,65.91,0.4777,0.5367,0.6151,High
SOUTH BANGALORE,12.932262,77.61061,65.91,0.6173,0.6961,0.3715,High
SOUTH BANGALORE,12.931878,77.60735,65.9,0.5782,0.5944,0.5286,High
SOUTH BANGALORE,12.922294,77.58654,65.88,0.6235,0.6245,0.4788,High
NORTH BANGALORE,13.072019,77.58558,65.88,0.517,0.536,0.6151,High
WEST BANGALORE,13.014406,77.54043,65.86,0.6058,0.5511,0.5843,High
SOUTH BANGALORE,12.947494,77.60248,65.84,0.6725,0.5498,0.5843,High
LOGISTICS / HIGH TRAFFIC ZONES,12.960689,77.57505,65.84,0.621,0.594,0.5286,High
EAST BANGALORE,12.965778,77.71563,65.78,0.6251,0.5696,0.5556,High
NORTH BANGALORE,13.039277,77.59275,65.77,0.5098,0.6734,0.4121,High
SOUTH BANGALORE,12.867622,77.6115,65.76,0.5659,0.5041,0.6486,High
SOUTH BANGALORE,12.943267,77.59843,65.75,0.6532,0.5534,0.5843,High
SOUTH BANGALORE,12.944627,77.59497,65.74,0.6625,0.5507,0.5843,High
NORTH BANGALORE,13.044994,77.60104,65.74,0.5391,0.6178,0.5031,High
SOUTH BANGALORE,12.943252,77.60838,65.67,0.6547,0.6076,0.5031,High
NORTH BANGALORE,12.943265,77.59461,65.67,0.5927,0.5033,0.6486,High
WEST BANGALORE,12.986224,77.54611,65.66,0.5414,0.6739,0.4121,High
SOUTH BANGALORE,12.93495,77.57245,65.63,0.5745,0.5985,0.5286,High
NORTH BANGALORE,13.041567,77.59341,65.63,0.5479,0.675,0.4121,High
WEST BANGALORE,13.026996,77.53644,65.63,0.6161,0.5546,0.5843,High
SOUTH BANGALORE,12.9301,77.60964,65.6,0.576,0.7548,0.2799,High
SOUTHEAST / IT CORRIDOR,12.847952,77.65238,65.6,0.545,0.5973,0.5286,High
NORTH BANGALORE,13.005601,77.57682,65.53,0.5115,0.5387,0.6151,High
NORTH BANGALORE,13.053226,77.5997,65.53,0.5582,0.5563,0.5843,High
CENTRAL BANGALORE,12.992622,77.59279,65.48,0.5498,0.5291,0.6151,High
NORTH BANGALORE,13.046837,77.631256,65.46,0.511,0.5754,0.5556,High
SOUTH BANGALORE,12.902101,77.576195,65.45,0.582,0.5278,0.6151,High
SOUTH BANGALORE,12.935684,77.57634,65.44,0.5698,0.7459,0.2973,High
SOUTH BANGALORE,12.925102,77.6034,65.43,0.5777,0.5057,0.6486,High
CENTRAL BANGALORE,12.992367,77.59395,65.42,0.658,0.5284,0.6151,High
NORTH BANGALORE,13.039131,77.62187,65.39,0.578,0.5751,0.5556,High
EAST BANGALORE,12.955804,77.72247,65.39,0.5489,0.5331,0.6151,High
CENTRAL BANGALORE,12.993414,77.593704,65.37,0.5931,0.5278,0.6151,High
SOUTH BANGALORE,12.948917,77.60544,65.35,0.5627,0.5565,0.5843,High
SOUTH BANGALORE,12.94858,77.60204,65.32,0.6326,0.5512,0.5843,High
SOUTH BANGALORE,12.921553,77.596985,65.31,0.6044,0.5088,0.6486,High
EAST BANGALORE,12.936333,77.70471,65.29,0.549,0.628,0.4788,High
SOUTH BANGALORE,12.925489,77.60749,65.26,0.6855,0.6054,0.5031,High
SOUTH BANGALORE,12.907376,77.63556,65.21,0.5494,0.5035,0.6486,High
NORTH BANGALORE,13.034927,77.58996,65.2,0.5928,0.6717,0.4121,High
SOUTH BANGALORE,12.942683,77.59854,65.19,0.653,0.504,0.6486,High
SOUTH BANGALORE,12.926784,77.60409,65.17,0.5982,0.6086,0.5031,High
EAST BANGALORE,12.975085,77.71217,65.17,0.5762,0.5731,0.5556,High
NORTH BANGALORE,13.005814,77.57653,65.14,0.5818,0.5299,0.6151,High
NORTH BANGALORE,13.03826,77.58996,65.12,0.5802,0.6706,0.4121,High
SOUTH BANGALORE,12.941273,77.601875,65.09,0.6443,0.6104,0.5031,High
SOUTH BANGALORE,12.933146,77.6105,65.03,0.5301,0.7007,0.3715,High
SOUTH BANGALORE,12.912271,77.63809,65.01,0.5172,0.6589,0.4334,High
WEST BANGALORE,12.995748,77.56511,65.0,0.58,0.5304,0.6151,High
WEST BANGALORE,13.027159,77.53957,64.93,0.6224,0.5505,0.5843,High
LOGISTICS / HIGH TRAFFIC ZONES,12.967037,77.57906,64.93,0.5488,0.5576,0.5843,High
SOUTH BANGALORE,12.943996,77.60347,64.92,0.5902,0.6106,0.5031,High
SOUTH BANGALORE,12.92425,77.6076,64.92,0.5731,0.5051,0.6486,High
SOUTH BANGALORE,12.939438,77.60225,64.91,0.6006,0.6099,0.5031,High
SOUTH BANGALORE,12.939075,77.5697,64.9,0.5908,0.6276,0.4788,High
LOGISTICS / HIGH TRAFFIC ZONES,12.96281,77.58364,64.87,0.6307,0.624,0.4788,High
NORTH BANGALORE,13.040647,77.62922,64.86,0.545,0.5301,0.6151,High
SOUTHEAST / IT CORRIDOR,12.92331,77.61126,64.83,0.5307,0.5567,0.5843,High
WEST BANGALORE,12.996424,77.54476,64.83,0.5912,0.6118,0.5031,High
NORTH BANGALORE,12.943038,77.59858,64.81,0.6318,0.5539,0.5843,High
EAST BANGALORE,12.936287,77.70649,64.8,0.5577,0.5508,0.5843,High
SOUTHEAST / IT CORRIDOR,12.908815,77.63535,64.75,0.5867,0.5035,0.6486,High
LOGISTICS / HIGH TRAFFIC ZONES,12.915487,77.62092,64.75,0.5387,0.531,0.6151,High
SOUTH BANGALORE,12.901838,77.584206,64.74,0.5429,0.5313,0.6151,High
SOUTH BANGALORE,12.920908,77.60063,64.74,0.5708,0.5067,0.6486,High
WEST BANGALORE,13.005406,77.57607,64.74,0.522,0.5381,0.6151,High
SOUTHEAST / IT CORRIDOR,12.915913,77.61238,64.73,0.5499,0.6539,0.4334,High
SOUTH BANGALORE,12.944523,77.59551,64.72,0.5638,0.5553,0.5843,High
EAST BANGALORE,12.936996,77.70266,64.71,0.5484,0.629,0.4788,High
NORTH BANGALORE,13.040913,77.59495,64.71,0.5314,0.6739,0.4121,High
SOUTH BANGALORE,12.942716,77.602745,64.68,0.6283,0.614,0.5031,High
LOGISTICS / HIGH TRAFFIC ZONES,13.014123,77.56567,64.65,0.5837,0.5547,0.5843,High
SOUTHEAST / IT CORRIDOR,12.926683,77.61098,64.64,0.5583,0.6953,0.3715,High
NORTH BANGALORE,13.004713,77.577354,64.64,0.551,0.5318,0.6151,High
NORTH BANGALORE,13.072078,77.58351,64.59,0.5367,0.5289,0.6151,High
NORTH BANGALORE,12.949434,77.59639,64.59,0.6322,0.5524,0.5843,High
NORTH BANGALORE,13.0447,77.62876,64.57,0.4837,0.6136,0.5031,High
SOUTH BANGALORE,12.916275,77.60579,64.55,0.5633,0.5572,0.5843,High
NORTH BANGALORE,13.048221,77.60075,64.55,0.6079,0.64,0.4557,High
CENTRAL BANGALORE,13.000511,77.577774,64.5,0.5365,0.5813,0.5556,High
SOUTH BANGALORE,12.917058,77.61249,64.49,0.5068,0.6305,0.4788,High
SOUTH BANGALORE,12.946692,77.59646,64.49,0.5971,0.5534,0.5843,High
NORTH BANGALORE,13.041594,77.62228,64.44,0.4275,0.5802,0.5556,High
LOGISTICS / HIGH TRAFFIC ZONES,13.00751,77.5651,64.41,0.5525,0.5565,0.5843,High
EAST BANGALORE,12.936117,77.70378,64.4,0.5234,0.6605,0.4334,High
SOUTH BANGALORE,12.935666,77.5777,64.39,0.523,0.7212,0.3333,High
SOUTHEAST / IT CORRIDOR,12.913693,77.6439,64.37,0.5079,0.6318,0.4788,High
SOUTH BANGALORE,12.936571,77.60898,64.34,0.601,0.7328,0.3151,High
EAST BANGALORE,12.941363,77.70316,64.27,0.6053,0.6262,0.4788,High
WEST BANGALORE,12.996971,77.56351,64.25,0.6076,0.5276,0.6151,High
NORTH BANGALORE,13.045613,77.63241,64.23,0.5307,0.5299,0.6151,High
WEST BANGALORE,12.998782,77.57575,64.21,0.4542,0.581,0.5556,High
WEST BANGALORE,12.997129,77.57187,64.19,0.4468,0.5841,0.5556,High
NORTH BANGALORE,12.946399,77.591934,64.18,0.6357,0.5888,0.5286,High
WEST BANGALORE,12.979798,77.5534,64.18,0.502,0.5352,0.6151,High
SOUTH BANGALORE,12.92249,77.58831,64.13,0.5727,0.553,0.5843,High
LOGISTICS / HIGH TRAFFIC ZONES,12.911419,77.62606,64.12,0.5859,0.553,0.5843,High
EAST BANGALORE,12.934883,77.705986,64.12,0.5737,0.5539,0.5843,High
LOGISTICS / HIGH TRAFFIC ZONES,13.009693,77.56369,64.11,0.5493,0.5589,0.5843,High
SOUTH BANGALORE,12.926343,77.6036,64.09,0.5971,0.6117,0.5031,High
WEST BANGALORE,12.992104,77.53953,64.08,0.6195,0.5694,0.5556,High
WEST BANGALORE,12.999421,77.574104,64.07,0.5208,0.5804,0.5556,High
SOUTHEAST / IT CORRIDOR,12.911057,77.629234,64.04,0.5536,0.5553,0.5843,High
NORTH BANGALORE,12.948718,77.59359,64.03,0.5038,0.5612,0.5843,High
SOUTH BANGALORE,12.925615,77.601364,63.99,0.6403,0.5067,0.6486,High
EAST BANGALORE,12.934432,77.70621,63.98,0.5945,0.5942,0.5286,High
SOUTH BANGALORE,12.934446,77.59125,63.94,0.5152,0.5574,0.5843,High
LOGISTICS / HIGH TRAFFIC ZONES,12.96298,77.58111,63.93,0.6177,0.5943,0.5286,High
LOGISTICS / HIGH TRAFFIC ZONES,12.961679,77.579636,63.92,0.6337,0.6559,0.4334,High
WEST BANGALORE,13.002895,77.56175,63.91,0.6082,0.5965,0.5286,High
LOGISTICS / HIGH TRAFFIC ZONES,13.013463,77.566536,63.87,0.5602,0.5566,0.5843,High
WEST BANGALORE,12.993003,77.541565,63.86,0.5653,0.5749,0.5556,High
EAST BANGALORE,12.941864,77.702194,63.85,0.5595,0.5963,0.5286,High
SOUTHEAST / IT CORRIDOR,12.84675,77.65253,63.84,0.6233,0.5926,0.5286,High
WEST BANGALORE,13.002221,77.57173,63.82,0.4813,0.578,0.5556,High
SOUTH BANGALORE,12.946822,77.60248,63.82,0.6358,0.5546,0.5843,High
SOUTH BANGALORE,12.933671,77.609055,63.82,0.6236,0.6733,0.4121,High
NORTH BANGALORE,12.945954,77.5924,63.81,0.605,0.549,0.5843,High
SOUTH BANGALORE,12.908251,77.64058,63.81,0.4964,0.5954,0.5286,High
WEST BANGALORE,12.993854,77.5381,63.78,0.6312,0.5284,0.6151,High
EAST BANGALORE,12.939129,77.70349,63.72,0.6036,0.6291,0.4788,High
EAST BANGALORE,12.9716,77.5946,63.7,0.6026,0.5264,0.6151,High
EAST BANGALORE,12.959655,77.72406,63.7,0.6241,0.5289,0.6151,High
SOUTH BANGALORE,12.945057,77.60266,63.68,0.6726,0.6395,0.4557,High
WEST BANGALORE,13.001228,77.55443,63.63,0.5626,0.6279,0.4788,High
NORTH BANGALORE,13.044255,77.60081,63.63,0.5353,0.6122,0.5031,High
SOUTH BANGALORE,12.942534,77.60063,63.61,0.5861,0.6123,0.5031,High
SOUTH BANGALORE,12.931168,77.57603,63.6,0.5572,0.7252,0.3333,High
CENTRAL BANGALORE,12.966379,77.56646,63.59,0.5788,0.5084,0.6486,High
WEST BANGALORE,13.001028,77.57092,63.57,0.4923,0.5802,0.5556,High
SOUTH BANGALORE,12.925672,77.60436,63.57,0.5858,0.5085,0.6486,High
SOUTH BANGALORE,12.934903,77.56944,63.56,0.5511,0.5561,0.5843,High
SOUTH BANGALORE,12.859843,77.6069,63.56,0.6341,0.5039,0.6486,High
SOUTHEAST / IT CORRIDOR,12.917824,77.61866,63.54,0.5047,0.5311,0.6151,High
SOUTH BANGALORE,12.927176,77.606995,63.5,0.5963,0.6084,0.5031,High
NORTH BANGALORE,13.039561,77.62222,63.48,0.491,0.5805,0.5556,High
WEST BANGALORE,12.993538,77.54191,63.44,0.6017,0.5709,0.5556,High
EAST BANGALORE,12.966623,77.718735,63.43,0.6677,0.5695,0.5556,High
WEST BANGALORE,12.994698,77.56915,63.41,0.4844,0.5814,0.5556,High
SOUTH BANGALORE,12.942908,77.60317,63.4,0.6078,0.6116,0.5031,High
SOUTH BANGALORE,12.919196,77.63335,63.39,0.5959,0.5508,0.5843,High
SOUTHEAST / IT CORRIDOR,12.91517,77.62557,63.38,0.5606,0.5567,0.5843,High
EAST BANGALORE,12.965333,77.71895,63.33,0.5514,0.6091,0.5031,High
NORTH BANGALORE,13.035337,77.59737,63.31,0.4873,0.678,0.4121,High
SOUTHEAST / IT CORRIDOR,12.923243,77.61337,63.31,0.4866,0.5929,0.5286,High
SOUTH BANGALORE,12.914351,77.60414,63.29,0.5787,0.5566,0.5843,High
SOUTH BANGALORE,12.920517,77.58367,63.28,0.5935,0.6595,0.4334,High
SOUTH BANGALORE,12.922166,77.60989,63.27,0.6018,0.5063,0.6486,High
WEST BANGALORE,12.985815,77.53886,63.26,0.5125,0.5309,0.6151,High
NORTH BANGALORE,13.050094,77.6034,63.23,0.5661,0.5548,0.5843,High
SOUTH BANGALORE,12.924286,77.60354,63.22,0.5939,0.5074,0.6486,High
SOUTHEAST / IT CORRIDOR,12.923485,77.62041,63.2,0.5129,0.6957,0.3715,High
LOGISTICS / HIGH TRAFFIC ZONES,13.00903,77.56704,63.2,0.5957,0.5526,0.5843,High
WEST BANGALORE,13.003568,77.57434,63.2,0.5142,0.6144,0.5031,High
SOUTH BANGALORE,12.943568,77.60392,63.19,0.6683,0.606,0.5031,High
SOUTH BANGALORE,12.941628,77.606606,63.19,0.6211,0.61,0.5031,High
EAST BANGALORE,12.967833,77.71848,63.16,0.5633,0.5328,0.6151,High
WEST BANGALORE,12.99959,77.56546,63.15,0.5339,0.6588,0.4334,High
EAST BANGALORE,12.938848,77.7039,63.14,0.6347,0.6277,0.4788,High
WEST BANGALORE,12.996091,77.54488,63.14,0.562,0.6113,0.5031,High
LOGISTICS / HIGH TRAFFIC ZONES,13.008634,77.56889,63.12,0.5398,0.5978,0.5286,High
LOGISTICS / HIGH TRAFFIC ZONES,12.968458,77.57439,63.11,0.5437,0.6013,0.5286,High
SOUTH BANGALORE,12.930885,77.60303,63.11,0.5918,0.6127,0.5031,High
NORTH BANGALORE,13.072893,77.58554,63.1,0.5689,0.5366,0.6151,High
SOUTH BANGALORE,12.928984,77.58862,63.09,0.5298,0.6613,0.4334,High
NORTH BANGALORE,13.004893,77.57359,63.09,0.5207,0.5791,0.5556,High
WEST BANGALORE,12.99533,77.53917,63.08,0.5915,0.5266,0.6151,High
EAST BANGALORE,12.933493,77.70096,63.02,0.5988,0.5296,0.6151,High
NORTH BANGALORE,13.049319,77.62774,63.01,0.5447,0.5755,0.5556,High
SOUTHEAST / IT CORRIDOR,12.92043,77.619125,62.95,0.5538,0.5714,0.5556,High
SOUTHEAST / IT CORRIDOR,12.940431,77.62794,62.92,0.5344,0.5071,0.6486,High
LOGISTICS / HIGH TRAFFIC ZONES,13.007779,77.57182,62.85,0.5618,0.5312,0.6151,High
WEST BANGALORE,12.992993,77.54361,62.84,0.5645,0.576,0.5556,High
SOUTH BANGALORE,12.95028,77.602356,62.83,0.602,0.5526,0.5843,High
SOUTH BANGALORE,12.935605,77.57407,62.83,0.5307,0.7015,0.3715,High
WEST BANGALORE,13.027175,77.53786,62.82,0.5531,0.5539,0.5843,High
SOUTH BANGALORE,12.940701,77.58172,62.79,0.5141,0.695,0.3715,High
NORTH BANGALORE,13.032549,77.590485,62.78,0.5417,0.5952,0.5286,High
EAST BANGALORE,12.927468,77.6776,62.78,0.5784,0.5246,0.6151,High
SOUTH BANGALORE,12.927863,77.604546,62.74,0.5838,0.6099,0.5031,High
LOGISTICS / HIGH TRAFFIC ZONES,13.0075,77.565285,62.7,0.579,0.556,0.5843,High
CENTRAL BANGALORE,12.968744,77.60694,62.67,0.6706,0.8483,0.1251,High
SOUTH BANGALORE,12.924794,77.633835,62.66,0.5243,0.5949,0.5286,High
EAST BANGALORE,12.936498,77.700325,62.65,0.6457,0.6231,0.4788,High
SOUTH BANGALORE,12.927924,77.59568,62.65,0.5869,0.5056,0.6486,High
SOUTH BANGALORE,12.858595,77.60825,62.6,0.6143,0.5006,0.6486,High
WEST BANGALORE,13.027992,77.53707,62.59,0.6097,0.5539,0.5843,High
NORTH BANGALORE,13.035393,77.59787,62.56,0.4995,0.6798,0.4121,High
SOUTHEAST / IT CORRIDOR,12.964766,77.642235,62.56,0.5709,0.5916,0.5286,High
SOUTH BANGALORE,12.943938,77.610245,62.56,0.5773,0.6435,0.4557,High
WEST BANGALORE,13.001867,77.575226,62.55,0.5224,0.579,0.5556,High
SOUTHEAST / IT CORRIDOR,12.917901,77.61103,62.54,0.5005,0.6298,0.4788,High
LOGISTICS / HIGH TRAFFIC ZONES,12.969398,77.58311,62.53,0.5724,0.5991,0.5286,High
SOUTH BANGALORE,12.943512,77.61613,62.52,0.5945,0.5543,0.5843,High
SOUTH BANGALORE,12.942248,77.60232,62.51,0.5512,0.6143,0.5031,High
NORTH BANGALORE,13.049091,77.629364,62.51,0.573,0.5295,0.6151,High
SOUTH BANGALORE,12.925562,77.60578,62.5,0.6186,0.6085,0.5031,High
LOGISTICS / HIGH TRAFFIC ZONES,12.968201,77.5803,62.5,0.5887,0.5968,0.5286,High
SOUTH BANGALORE,12.926052,77.608826,62.48,0.5741,0.6123,0.5031,High
SOUTH BANGALORE,12.914032,77.64186,62.45,0.4901,0.6587,0.4334,High
