edge_id,geometry_polyline,geometry_length,bearing,road_curvature
EDGE_917_43894,"[[12.98708, 77.60181], [12.98958, 77.60431], [12.99208, 77.60681]]",0.7763,44.26,0.0
EDGE_918_43895,"[[12.988974, 77.60192], [12.991474, 77.60442], [12.993974, 77.60692]]",0.7763,44.26,0.0
EDGE_919_43896,"[[12.987484, 77.60068], [12.989984, 77.60318], [12.992484, 77.60568]]",0.7763,44.26,0.0
EDGE_920_43897,"[[12.986367, 77.60052], [12.988867, 77.60302], [12.991367, 77.60552]]",0.7763,44.26,0.0
EDGE_921_43898,"[[12.986257, 77.60088], [12.988757, 77.60338], [12.991257, 77.60588]]",0.7763,44.26,0.0
EDGE_922_43899,"[[12.986584, 77.60095], [12.989084, 77.60345], [12.991584, 77.60595]]",0.7763,44.26,0.0
EDGE_43900_43901,"[[12.986535, 77.60122], [12.989035, 77.60372], [12.991535, 77.60622]]",0.7763,44.26,0.0
EDGE_924_43902,"[[12.986101, 77.60031], [12.988601, 77.60281], [12.991101, 77.60531]]",0.7763,44.26,0.0
EDGE_925_43903,"[[12.986184, 77.60088], [12.988684, 77.60338], [12.991184, 77.60588]]",0.7763,44.26,0.0
EDGE_926_43904,"[[12.985737, 77.60091], [12.988237, 77.60341], [12.990737, 77.60591]]",0.7763,44.26,0.0
EDGE_927_43905,"[[12.986006, 77.60066], [12.988506, 77.60316], [12.991006, 77.60566]]",0.7763,44.26,0.0
EDGE_928_43906,"[[12.985902, 77.60096], [12.988402, 77.60346], [12.990902, 77.60596]]",0.7763,44.26,0.0
EDGE_929_43907,"[[12.985399, 77.600174], [12.987899, 77.602674], [12.990399, 77.605174]]",0.7763,44.26,0.0
EDGE_43908_43909,"[[12.985595, 77.60069], [12.9881245, 77.603175], [12.990654, 77.60566]]",0.7787,43.75,0.0
EDGE_931_43910,"[[12.985565, 77.60057], [12.988065, 77.60307], [12.990565, 77.60557]]",0.7763,44.26,0.0
EDGE_932_43911,"[[12.98533, 77.60036], [12.98783, 77.60286], [12.99033, 77.60536]]",0.7763,44.26,0.0
EDGE_933_43912,"[[12.985344, 77.60101], [12.987844, 77.60351], [12.990344, 77.60601]]",0.7763,44.26,0.0
EDGE_934_43913,"[[12.986014, 77.60202], [12.988514, 77.60452], [12.991014, 77.60702]]",0.7763,44.26,0.0
EDGE_935_43914,"[[12.985469, 77.60208], [12.987969, 77.60458], [12.990469, 77.60708]]",0.7763,44.26,0.0
EDGE_936_43915,"[[12.985363, 77.60234], [12.987863, 77.60484], [12.990363, 77.60734]]",0.7763,44.26,0.0
EDGE_937_43916,"[[12.985427, 77.60295], [12.987927, 77.60545], [12.990427, 77.60795]]",0.7763,44.26,0.0
EDGE_938_43917,"[[12.985498, 77.60316], [12.987971, 77.60568], [12.990444, 77.6082]]",0.775,44.8,0.0
EDGE_939_43918,"[[12.985112, 77.60249], [12.987612, 77.60499], [12.990112, 77.60749]]",0.7763,44.26,0.0
EDGE_940_43919,"[[12.985064, 77.602165], [12.987564, 77.604665], [12.990064, 77.607165]]",0.7763,44.26,0.0
EDGE_43920_43921,"[[12.985035, 77.60195], [12.987535, 77.60445], [12.990035, 77.60695]]",0.7763,44.26,0.0
EDGE_942_43922,"[[12.986616, 77.60328], [12.989116, 77.60578], [12.991616, 77.60828]]",0.7763,44.26,0.0
EDGE_943_43923,"[[12.986917, 77.6025], [12.989417, 77.605], [12.991917, 77.6075]]",0.7763,44.26,0.0
EDGE_944_43924,"[[12.98733, 77.60242], [12.98983, 77.60492], [12.99233, 77.60742]]",0.7763,44.26,0.0
EDGE_945_43925,"[[12.987721, 77.60243], [12.990221, 77.60493], [12.992721, 77.60743]]",0.7763,44.26,0.0
EDGE_946_43926,"[[12.98788, 77.60226], [12.99038, 77.60476], [12.99288, 77.60726]]",0.7763,44.26,0.0
EDGE_947_43927,"[[12.987503, 77.602554], [12.990003, 77.605054], [12.992503, 77.607554]]",0.7763,44.26,0.0
EDGE_948_43928,"[[12.988448, 77.60268], [12.990948, 77.60518], [12.993448, 77.60768]]",0.7763,44.26,0.0
EDGE_949_43929,"[[12.988547, 77.6027], [12.991047, 77.6052], [12.993547, 77.6077]]",0.7763,44.26,0.0
EDGE_950_43930,"[[12.988467, 77.60174], [12.990967, 77.60424], [12.993467, 77.60674]]",0.7763,44.26,0.0
EDGE_951_43931,"[[12.966202, 77.60665], [12.968702, 77.60915], [12.971202, 77.61165]]",0.7763,44.26,0.0
EDGE_952_43932,"[[12.971242, 77.59798], [12.973742, 77.60048], [12.976242, 77.60298]]",0.7763,44.26,0.0
EDGE_953_43933,"[[12.971163, 77.59787], [12.973663, 77.60037], [12.976163, 77.60287]]",0.7763,44.26,0.0
EDGE_43934_43935,"[[12.97209, 77.600235], [12.97459, 77.602735], [12.97709, 77.605235]]",0.7763,44.26,0.0
EDGE_955_43936,"[[12.966969, 77.60244], [12.969469, 77.60494], [12.971969, 77.60744]]",0.7763,44.26,0.0
EDGE_956_43937,"[[12.967068, 77.602554], [12.969568, 77.605054], [12.972068, 77.607554]]",0.7763,44.26,0.0
EDGE_957_43938,"[[12.967964, 77.60268], [12.970464, 77.60518], [12.972964, 77.60768]]",0.7763,44.26,0.0
EDGE_958_43939,"[[12.9639225, 77.59813], [12.9664225, 77.60063], [12.9689225, 77.60313]]",0.7763,44.26,0.0
EDGE_43940_43941,"[[12.962445, 77.59442], [12.964945, 77.59692], [12.967445, 77.59942]]",0.7763,44.26,0.0
EDGE_960_43942,"[[12.965118, 77.602196], [12.967618, 77.604696], [12.970118, 77.607196]]",0.7763,44.26,0.0
EDGE_961_43943,"[[12.973736, 77.61384], [12.976236, 77.61634], [12.978736, 77.61884]]",0.7763,44.26,0.0
EDGE_43944_43945,"[[12.973796, 77.613365], [12.976296, 77.615865], [12.978796, 77.618365]]",0.7763,44.26,0.0
EDGE_963_43946,"[[12.9771385, 77.60872], [12.9796385, 77.61122], [12.9821385, 77.61372]]",0.7763,44.26,0.0
EDGE_964_43947,"[[12.976536, 77.60857], [12.979036, 77.61107], [12.981536, 77.61357]]",0.7763,44.26,0.0
EDGE_965_43948,"[[12.977183, 77.60879], [12.979683, 77.61129], [12.982183, 77.61379]]",0.7763,44.26,0.0
EDGE_966_43949,"[[12.976827, 77.61008], [12.979327, 77.61258], [12.981827, 77.61508]]",0.7763,44.26,0.0
EDGE_967_43950,"[[12.97726, 77.60876], [12.97976, 77.61126], [12.98226, 77.61376]]",0.7763,44.26,0.0
EDGE_43951_43952,"[[12.977215, 77.608696], [12.979715, 77.611196], [12.982215, 77.613696]]",0.7763,44.26,0.0
EDGE_969_43953,"[[12.977329, 77.60813], [12.979829, 77.61063], [12.982329, 77.61313]]",0.7763,44.26,0.0
EDGE_970_43954,"[[12.97926, 77.60241], [12.98176, 77.60491], [12.98426, 77.60741]]",0.7763,44.26,0.0
EDGE_972_43956,"[[12.978538, 77.60235], [12.981038, 77.60485], [12.983538, 77.60735]]",0.7763,44.26,0.0
EDGE_43957_43958,"[[12.975855, 77.61453], [12.978355, 77.61703], [12.980855, 77.61953]]",0.7763,44.26,0.0
EDGE_974_43959,"[[12.981589, 77.608116], [12.984089, 77.610616], [12.986589, 77.613116]]",0.7763,44.26,0.0
EDGE_975_43960,"[[12.976608, 77.59968], [12.979108, 77.60218], [12.981608, 77.60468]]",0.7763,44.26,0.0
EDGE_977_43962,"[[12.986165, 77.60849], [12.988665, 77.61099], [12.991165, 77.61349]]",0.7763,44.26,0.0
EDGE_978_43963,"[[12.982966, 77.59651], [12.9854895, 77.599025], [12.988013, 77.60154]]",0.7823,44.16,0.0
EDGE_979_43964,"[[12.982517, 77.59533], [12.985017, 77.59783], [12.987517, 77.60033]]",0.7763,44.26,0.0
EDGE_980_43965,"[[12.98322, 77.5958], [12.98572, 77.5983], [12.98822, 77.6008]]",0.7763,44.26,0.0
EDGE_981_43966,"[[12.983753, 77.59637], [12.986253, 77.59887], [12.988753, 77.60137]]",0.7763,44.26,0.0
EDGE_982_43967,"[[12.97634, 77.61133], [12.97884, 77.61383], [12.98134, 77.61633]]",0.7763,44.26,0.0
EDGE_984_43969,"[[12.980895, 77.610565], [12.983395, 77.613065], [12.985895, 77.615565]]",0.7763,44.26,0.0
EDGE_985_43970,"[[12.97502, 77.60793], [12.97752, 77.61043], [12.98002, 77.61293]]",0.7763,44.26,0.0
EDGE_43971_43972,"[[12.975135, 77.60795], [12.977635, 77.61045], [12.980135, 77.61295]]",0.7763,44.26,0.0
EDGE_987_43973,"[[12.975526, 77.60612], [12.978026, 77.60862], [12.980526, 77.61112]]",0.7763,44.26,0.0
EDGE_989_43975,"[[12.97583, 77.61461], [12.97833, 77.61711], [12.98083, 77.61961]]",0.7763,44.26,0.0
EDGE_990_43976,"[[12.963004, 77.59867], [12.965504, 77.60117], [12.968004, 77.60367]]",0.7763,44.26,0.0
EDGE_43977_43978,"[[12.970611, 77.608475], [12.973111, 77.610975], [12.975611, 77.613475]]",0.7763,44.26,0.0
EDGE_992_43979,"[[12.970282, 77.6091], [12.972782, 77.6116], [12.975282, 77.6141]]",0.7763,44.26,0.0
EDGE_993_43980,"[[12.970648, 77.609436], [12.973148, 77.611936], [12.975648, 77.614436]]",0.7763,44.26,0.0
EDGE_994_43981,"[[12.96674, 77.60453], [12.96924, 77.60703], [12.97174, 77.60953]]",0.7763,44.26,0.0
EDGE_998_43985,"[[12.972259, 77.593864], [12.974759, 77.596364], [12.977259, 77.598864]]",0.7763,44.26,0.0
EDGE_999_43986,"[[12.9843235, 77.59708], [12.9868235, 77.59958], [12.9893235, 77.60208]]",0.7763,44.26,0.0
EDGE_1000_43987,"[[12.984203, 77.597046], [12.986703, 77.599546], [12.989203, 77.602046]]",0.7763,44.26,0.0
EDGE_1001_43988,"[[12.984417, 77.59703], [12.986917, 77.59953], [12.989417, 77.60203]]",0.7763,44.26,0.0
EDGE_1002_43989,"[[12.964912, 77.60518], [12.967412, 77.60768], [12.969912, 77.61018]]",0.7763,44.26,0.0
EDGE_1003_43990,"[[12.980065, 77.60269], [12.982565, 77.60519], [12.985065, 77.60769]]",0.7763,44.26,0.0
EDGE_43993_43994,"[[12.971783, 77.600235], [12.974283, 77.602735], [12.976783, 77.605235]]",0.7763,44.26,0.0
EDGE_1007_43995,"[[12.971672, 77.6195], [12.974172, 77.622], [12.976672, 77.6245]]",0.7763,44.26,0.0
EDGE_1008_43996,"[[12.964063, 77.61267], [12.966563, 77.61517], [12.969063, 77.61767]]",0.7763,44.26,0.0
EDGE_1009_43997,"[[12.963746, 77.6135], [12.966246, 77.616], [12.968746, 77.6185]]",0.7763,44.26,0.0
EDGE_1010_43998,"[[12.962553, 77.59426], [12.965053, 77.59676], [12.967553, 77.59926]]",0.7763,44.26,0.0
EDGE_1011_43999,"[[12.987703, 77.60415], [12.990203, 77.60665], [12.992703, 77.60915]]",0.7763,44.26,0.0
EDGE_1012_44000,"[[12.963708, 77.59799], [12.966208, 77.60049], [12.968708, 77.60299]]",0.7763,44.26,0.0
EDGE_1013_44001,"[[12.96368, 77.59826], [12.96618, 77.60076], [12.96868, 77.60326]]",0.7763,44.26,0.0
EDGE_1014_44002,"[[12.984608, 77.60929], [12.987108, 77.61179], [12.989608, 77.61429]]",0.7763,44.26,0.0
EDGE_44003_44004,"[[12.984235, 77.60919], [12.986735, 77.61169], [12.989235, 77.61419]]",0.7763,44.26,0.0
EDGE_1016_44005,"[[12.965276, 77.61634], [12.967776, 77.61884], [12.970276, 77.62134]]",0.7763,44.26,0.0
EDGE_1017_44006,"[[12.966811, 77.60086], [12.969311, 77.60336], [12.971811, 77.60586]]",0.7763,44.26,0.0
EDGE_44007_44008,"[[12.98556, 77.618065], [12.98806, 77.620565], [12.99056, 77.623065]]",0.7763,44.26,0.0
EDGE_1019_44009,"[[12.985747, 77.61793], [12.988247, 77.62043], [12.990747, 77.62293]]",0.7763,44.26,0.0
EDGE_1020_44010,"[[12.984345, 77.61021], [12.986845, 77.61271], [12.989345, 77.61521]]",0.7763,44.26,0.0
EDGE_1021_44011,"[[12.9724, 77.61515], [12.9749, 77.61765], [12.9774, 77.62015]]",0.7763,44.26,0.0
EDGE_1022_44012,"[[12.985546, 77.60265], [12.988046, 77.60515], [12.990546, 77.60765]]",0.7763,44.26,0.0
EDGE_1023_44013,"[[12.984546, 77.5984], [12.987046, 77.6009], [12.989546, 77.6034]]",0.7763,44.26,0.0
EDGE_1024_44014,"[[12.98642, 77.61185], [12.98892, 77.61435], [12.99142, 77.61685]]",0.7763,44.26,0.0
EDGE_1025_44015,"[[12.98723, 77.60872], [12.98973, 77.61122], [12.99223, 77.61372]]",0.7763,44.26,0.0
EDGE_1026_44016,"[[12.987878, 77.61254], [12.990378, 77.61504], [12.992878, 77.61754]]",0.7763,44.26,0.0
EDGE_1027_44017,"[[12.962997, 77.61231], [12.965497, 77.61481], [12.967997, 77.61731]]",0.7763,44.26,0.0
EDGE_1028_44018,"[[12.9632635, 77.61266], [12.9657635, 77.61516], [12.9682635, 77.61766]]",0.7763,44.26,0.0
EDGE_1029_44019,"[[12.975704, 77.61858], [12.978204, 77.62108], [12.980704, 77.62358]]",0.7763,44.26,0.0
EDGE_1030_44020,"[[12.973486, 77.610596], [12.975986, 77.613096], [12.978486, 77.615596]]",0.7763,44.26,0.0
EDGE_1031_44021,"[[12.973744, 77.610886], [12.976244, 77.613386], [12.978744, 77.615886]]",0.7763,44.26,0.0
EDGE_1032_44022,"[[12.980617, 77.597145], [12.983117, 77.599645], [12.985617, 77.602145]]",0.7763,44.26,0.0
EDGE_1033_44023,"[[12.980859, 77.59723], [12.983359, 77.59973], [12.985859, 77.60223]]",0.7763,44.26,0.0
EDGE_1034_44024,"[[12.982379, 77.59712], [12.984879, 77.59962], [12.987379, 77.60212]]",0.7763,44.26,0.0
EDGE_1035_44025,"[[12.973725, 77.60475], [12.976225, 77.60725], [12.978725, 77.60975]]",0.7763,44.26,0.0
EDGE_1036_44026,"[[12.973657, 77.59797], [12.976157, 77.60047], [12.978657, 77.60297]]",0.7763,44.26,0.0
EDGE_1037_44027,"[[12.962201, 77.59568], [12.964701, 77.59818], [12.967201, 77.60068]]",0.7763,44.26,0.0
EDGE_1039_44029,"[[12.973712, 77.61394], [12.976212, 77.61644], [12.978712, 77.61894]]",0.7763,44.26,0.0
EDGE_1040_44030,"[[12.973143, 77.61669], [12.975643, 77.61919], [12.978143, 77.62169]]",0.7763,44.26,0.0
EDGE_1041_44031,"[[12.975336, 77.61437], [12.977836, 77.61687], [12.980336, 77.61937]]",0.7763,44.26,0.0
EDGE_1042_44032,"[[12.977944, 77.60666], [12.980444, 77.60916], [12.982944, 77.61166]]",0.7763,44.26,0.0
EDGE_1043_44033,"[[12.97862, 77.60685], [12.981107, 77.609325], [12.983594, 77.6118]]",0.7704,44.12,0.0
EDGE_1044_44034,"[[12.977714, 77.60895], [12.980214, 77.61145], [12.982714, 77.61395]]",0.7763,44.26,0.0
EDGE_1046_44036,"[[12.977907, 77.60677], [12.980386, 77.60929], [12.982865, 77.61181]]",0.776,44.73,0.0
EDGE_1047_44037,"[[12.975071, 77.60799], [12.977571, 77.61049], [12.980071, 77.61299]]",0.7763,44.26,0.0
EDGE_1049_44039,"[[12.975169, 77.608025], [12.977669, 77.610525], [12.980169, 77.613025]]",0.7763,44.26,0.0
EDGE_1050_44040,"[[12.975589, 77.6081], [12.978089, 77.6106], [12.980589, 77.6131]]",0.7763,44.26,0.0
EDGE_1051_44041,"[[12.972063, 77.61949], [12.974563, 77.62199], [12.977063, 77.62449]]",0.7763,44.26,0.0
EDGE_1052_44042,"[[12.972444, 77.61931], [12.974944, 77.62181], [12.977444, 77.62431]]",0.7763,44.26,0.0
EDGE_1053_44043,"[[12.972418, 77.61946], [12.974918, 77.62196], [12.977418, 77.62446]]",0.7763,44.26,0.0
EDGE_1055_44045,"[[12.974389, 77.6111], [12.976889, 77.6136], [12.979389, 77.6161]]",0.7763,44.26,0.0
EDGE_1056_44046,"[[12.974538, 77.61024], [12.977038, 77.61274], [12.979538, 77.61524]]",0.7763,44.26,0.0
EDGE_1058_44048,"[[12.97405, 77.611176], [12.97655, 77.613676], [12.97905, 77.616176]]",0.7763,44.26,0.0
EDGE_1061_44052,"[[12.980837, 77.5937], [12.983337, 77.5962], [12.985837, 77.5987]]",0.7763,44.26,0.0
EDGE_1062_44053,"[[12.972704, 77.61745], [12.975204, 77.61995], [12.977704, 77.62245]]",0.7763,44.26,0.0
EDGE_1063_44054,"[[12.972932, 77.61713], [12.975432, 77.61963], [12.977932, 77.62213]]",0.7763,44.26,0.0
EDGE_1064_44055,"[[12.964123, 77.61058], [12.966623, 77.61308], [12.969123, 77.61558]]",0.7763,44.26,0.0
EDGE_1065_44056,"[[12.976167, 77.611855], [12.978667, 77.614355], [12.981167, 77.616855]]",0.7763,44.26,0.0
EDGE_1066_44057,"[[12.963356, 77.601166], [12.9658715, 77.603698], [12.968387, 77.60623]]",0.7836,44.45,0.0
EDGE_1067_44058,"[[12.96497, 77.59658], [12.96747, 77.59908], [12.96997, 77.60158]]",0.7763,44.26,0.0
EDGE_1068_44059,"[[12.973134, 77.60017], [12.975634, 77.60267], [12.978134, 77.60517]]",0.7763,44.26,0.0
EDGE_1069_44060,"[[12.96859, 77.595924], [12.97109, 77.598424], [12.97359, 77.600924]]",0.7763,44.26,0.0
EDGE_1070_44061,"[[12.964894, 77.596825], [12.967394, 77.599325], [12.969894, 77.601825]]",0.7763,44.26,0.0
EDGE_1071_44062,"[[12.965138, 77.595894], [12.967638, 77.598394], [12.970138, 77.600894]]",0.7763,44.26,0.0
EDGE_1072_44063,"[[12.963394, 77.59866], [12.965894, 77.60116], [12.968394, 77.60366]]",0.7763,44.26,0.0
EDGE_1073_44064,"[[12.963633, 77.598885], [12.966133, 77.601385], [12.968633, 77.603885]]",0.7763,44.26,0.0
EDGE_1074_44065,"[[12.963384, 77.59845], [12.965884, 77.60095], [12.968384, 77.60345]]",0.7763,44.26,0.0
EDGE_1075_44066,"[[12.97575, 77.62025], [12.97825, 77.62275], [12.98075, 77.62525]]",0.7763,44.26,0.0
EDGE_1076_44067,"[[12.97572, 77.62005], [12.97822, 77.62255], [12.98072, 77.62505]]",0.7763,44.26,0.0
EDGE_1077_44068,"[[12.981802, 77.59445], [12.984302, 77.59695], [12.986802, 77.59945]]",0.7763,44.26,0.0
EDGE_1078_44069,"[[12.977633, 77.619125], [12.980133, 77.621625], [12.982633, 77.624125]]",0.7763,44.26,0.0
EDGE_1079_44070,"[[12.96315, 77.59453], [12.96565, 77.59703], [12.96815, 77.59953]]",0.7763,44.26,0.0
EDGE_1080_44071,"[[12.975621, 77.59411], [12.978121, 77.59661], [12.980621, 77.59911]]",0.7763,44.26,0.0
EDGE_1081_44072,"[[12.976638, 77.60183], [12.979138, 77.60433], [12.981638, 77.60683]]",0.7763,44.26,0.0
EDGE_1082_44073,"[[12.983899, 77.59712], [12.986399, 77.59962], [12.988899, 77.60212]]",0.7763,44.26,0.0
EDGE_1083_44074,"[[12.98368, 77.59647], [12.98618, 77.59897], [12.98868, 77.60147]]",0.7763,44.26,0.0
EDGE_1084_44075,"[[12.972849, 77.62012], [12.975349, 77.62262], [12.977849, 77.62512]]",0.7763,44.26,0.0
EDGE_1085_44076,"[[12.9727, 77.6202], [12.9752, 77.6227], [12.9777, 77.6252]]",0.7763,44.26,0.0
EDGE_44077_44078,"[[12.972625, 77.62002], [12.975125, 77.62252], [12.977625, 77.62502]]",0.7763,44.26,0.0
EDGE_1087_44079,"[[12.972674, 77.61996], [12.975174, 77.62246], [12.977674, 77.62496]]",0.7763,44.26,0.0
EDGE_44080_44081,"[[12.972485, 77.61966], [12.974985, 77.62216], [12.977485, 77.62466]]",0.7763,44.26,0.0
EDGE_1089_44082,"[[12.967004, 77.61609], [12.969504, 77.61859], [12.972004, 77.62109]]",0.7763,44.26,0.0
EDGE_1090_44083,"[[12.969668, 77.60541], [12.972168, 77.60791], [12.974668, 77.61041]]",0.7763,44.26,0.0
EDGE_1091_44084,"[[12.968452, 77.606125], [12.970952, 77.608625], [12.973452, 77.611125]]",0.7763,44.26,0.0
EDGE_1092_44085,"[[12.968282, 77.60616], [12.970782, 77.60866], [12.973282, 77.61116]]",0.7763,44.26,0.0
EDGE_1093_44086,"[[12.9666605, 77.60874], [12.9691605, 77.61124], [12.9716605, 77.61374]]",0.7763,44.26,0.0
EDGE_1095_44088,"[[12.967116, 77.6111], [12.969616, 77.6136], [12.972116, 77.6161]]",0.7763,44.26,0.0
EDGE_1096_44089,"[[12.967415, 77.61083], [12.969915, 77.61333], [12.972415, 77.61583]]",0.7763,44.26,0.0
EDGE_44091_44092,"[[12.984545, 77.597145], [12.987045, 77.599645], [12.989545, 77.602145]]",0.7763,44.26,0.0
EDGE_1099_44093,"[[12.974935, 77.61778], [12.977435, 77.62028], [12.979935, 77.62278]]",0.7763,44.26,0.0
EDGE_1100_44094,"[[12.966538, 77.61389], [12.969038, 77.61639], [12.971538, 77.61889]]",0.7763,44.26,0.0
EDGE_1102_44096,"[[12.975311, 77.61445], [12.977811, 77.61695], [12.980311, 77.61945]]",0.7763,44.26,0.0
EDGE_1103_44097,"[[12.983794, 77.6099], [12.986294, 77.6124], [12.988794, 77.6149]]",0.7763,44.26,0.0
EDGE_1104_44098,"[[12.984676, 77.60743], [12.987176, 77.60993], [12.989676, 77.61243]]",0.7763,44.26,0.0
EDGE_1105_44099,"[[12.984978, 77.60753], [12.987478, 77.61003], [12.989978, 77.61253]]",0.7763,44.26,0.0
EDGE_1106_44100,"[[12.984375, 77.597244], [12.986875, 77.599744], [12.989375, 77.602244]]",0.7763,44.26,0.0
EDGE_1107_44101,"[[12.984039, 77.59786], [12.986539, 77.60036], [12.989039, 77.60286]]",0.7763,44.26,0.0
EDGE_1109_44103,"[[12.98424, 77.597145], [12.98674, 77.599645], [12.98924, 77.602145]]",0.7763,44.26,0.0
EDGE_1112_44106,"[[12.9668255, 77.61467], [12.9693255, 77.61717], [12.9718255, 77.61967]]",0.7763,44.26,0.0
EDGE_1113_44107,"[[12.988354, 77.60277], [12.990854, 77.60527], [12.993354, 77.60777]]",0.7763,44.26,0.0
EDGE_1114_44108,"[[12.96489, 77.59699], [12.96739, 77.59949], [12.96989, 77.60199]]",0.7763,44.26,0.0
EDGE_1116_44110,"[[12.9654455, 77.61875], [12.9679455, 77.62125], [12.9704455, 77.62375]]",0.7763,44.26,0.0
EDGE_1117_44111,"[[12.966125, 77.60674], [12.968625, 77.60924], [12.971125, 77.61174]]",0.7763,44.26,0.0
EDGE_1119_44113,"[[12.973996, 77.61252], [12.976496, 77.61502], [12.978996, 77.61752]]",0.7763,44.26,0.0
EDGE_1120_44114,"[[12.9644985, 77.60679], [12.9669985, 77.60929], [12.9694985, 77.61179]]",0.7763,44.26,0.0
EDGE_1121_44115,"[[12.964848, 77.606926], [12.967348, 77.609426], [12.969848, 77.611926]]",0.7763,44.26,0.0
EDGE_1122_44116,"[[12.975971, 77.6083], [12.978471, 77.6108], [12.980971, 77.6133]]",0.7763,44.26,0.0
EDGE_44117_44118,"[[12.958395, 77.60454], [12.960895, 77.60704], [12.963395, 77.60954]]",0.7763,44.26,0.0
EDGE_1124_44119,"[[12.958454, 77.60496], [12.960954, 77.60746], [12.963454, 77.60996]]",0.7763,44.26,0.0
EDGE_1125_44120,"[[12.959942, 77.601906], [12.962442, 77.604406], [12.964942, 77.606906]]",0.7763,44.26,0.0
EDGE_1126_44121,"[[12.958136, 77.60286], [12.960636, 77.60536], [12.963136, 77.60786]]",0.7763,44.26,0.0
EDGE_1127_44122,"[[12.958579, 77.60158], [12.961079, 77.60408], [12.963579, 77.60658]]",0.7763,44.26,0.0
EDGE_1128_44123,"[[12.95512, 77.604004], [12.95762, 77.606504], [12.96012, 77.609004]]",0.7763,44.26,0.0
EDGE_1129_44124,"[[12.955634, 77.605576], [12.958134, 77.608076], [12.960634, 77.610576]]",0.7763,44.26,0.0
EDGE_1130_44125,"[[12.96183, 77.59595], [12.96433, 77.59845], [12.96683, 77.60095]]",0.7763,44.26,0.0
EDGE_1131_44126,"[[12.956465, 77.60532], [12.958965, 77.60782], [12.961465, 77.61032]]",0.7763,44.26,0.0
EDGE_1132_44127,"[[12.957196, 77.605865], [12.959696, 77.608365], [12.962196, 77.610865]]",0.7763,44.26,0.0
EDGE_1133_44128,"[[12.956957, 77.60501], [12.959457, 77.60751], [12.961957, 77.61001]]",0.7763,44.26,0.0
EDGE_1134_44129,"[[12.957838, 77.60522], [12.960338, 77.60772], [12.962838, 77.61022]]",0.7763,44.26,0.0
EDGE_1135_44130,"[[12.95817, 77.60363], [12.96067, 77.60613], [12.96317, 77.60863]]",0.7763,44.26,0.0
EDGE_1136_44131,"[[12.958788, 77.60271], [12.961288, 77.60521], [12.963788, 77.60771]]",0.7763,44.26,0.0
EDGE_1137_44132,"[[12.9595375, 77.60181], [12.962018, 77.6043], [12.9644985, 77.60679]]",0.7717,44.37,0.0
EDGE_1138_44133,"[[12.959611, 77.60418], [12.962111, 77.60668], [12.964611, 77.60918]]",0.7763,44.26,0.0
EDGE_1139_44134,"[[12.961679, 77.59845], [12.964179, 77.60095], [12.966679, 77.60345]]",0.7763,44.26,0.0
EDGE_1140_44135,"[[12.961847, 77.59865], [12.964347, 77.60115], [12.966847, 77.60365]]",0.7763,44.26,0.0
EDGE_1141_44136,"[[12.959434, 77.60294], [12.961934, 77.60544], [12.964434, 77.60794]]",0.7763,44.26,0.0
EDGE_1142_44137,"[[12.961871, 77.60145], [12.964371, 77.60395], [12.966871, 77.60645]]",0.7763,44.26,0.0
EDGE_1143_44138,"[[12.960848, 77.60492], [12.963348, 77.60742], [12.965848, 77.60992]]",0.7763,44.26,0.0
EDGE_1144_44139,"[[12.959742, 77.60488], [12.962242, 77.60738], [12.964742, 77.60988]]",0.7763,44.26,0.0
EDGE_1145_44140,"[[12.9620905, 77.59892], [12.9645905, 77.60142], [12.9670905, 77.60392]]",0.7763,44.26,0.0
EDGE_1146_44141,"[[12.961784, 77.59887], [12.964284, 77.60137], [12.966784, 77.60387]]",0.7763,44.26,0.0
EDGE_1147_44142,"[[12.963166, 77.59589], [12.965666, 77.59839], [12.968166, 77.60089]]",0.7763,44.26,0.0
EDGE_1148_44143,"[[12.962364, 77.60289], [12.964864, 77.60539], [12.967364, 77.60789]]",0.7763,44.26,0.0
EDGE_1149_44144,"[[12.962293, 77.59824], [12.964793, 77.60074], [12.967293, 77.60324]]",0.7763,44.26,0.0
EDGE_1150_44145,"[[12.961577, 77.59789], [12.964077, 77.60039], [12.966577, 77.60289]]",0.7763,44.26,0.0
EDGE_1151_44146,"[[12.960016, 77.60255], [12.962516, 77.60505], [12.965016, 77.60755]]",0.7763,44.26,0.0
EDGE_1152_44147,"[[12.960708, 77.60294], [12.963208, 77.60544], [12.965708, 77.60794]]",0.7763,44.26,0.0
EDGE_1153_44148,"[[12.962005, 77.60394], [12.964505, 77.60644], [12.967005, 77.60894]]",0.7763,44.26,0.0
EDGE_1154_44149,"[[12.957927, 77.59346], [12.960427, 77.59596], [12.962927, 77.59846]]",0.7763,44.26,0.0
EDGE_44150_44151,"[[12.961074, 77.594055], [12.963574, 77.596555], [12.966074, 77.599055]]",0.7763,44.26,0.0
EDGE_1156_44152,"[[12.960076, 77.59338], [12.9625845, 77.5958575], [12.965093, 77.598335]]",0.7743,43.9,0.0
EDGE_1157_44153,"[[12.961769, 77.593735], [12.964269, 77.596235], [12.966769, 77.598735]]",0.7763,44.26,0.0
EDGE_1158_44154,"[[12.961829, 77.59321], [12.964329, 77.59571], [12.966829, 77.59821]]",0.7763,44.26,0.0
